Algeria,DZA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,13666.2182,14639.87794,14496.86547,15836.09444,16824.4879
East Asia & Pacific (excluding high income),EAP,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,7388.370559,9560.527215,17676.44706,19575.97009,21258.24784
Early-demographic dividend,EAR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6434.724806,7339.00846,10691.09492,12099.16011,12990.88609
East Asia & Pacific,EAS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,10454.7418,12642.43429,21167.88112,23280.87446,25067.39347
Europe & Central Asia (excluding high income),ECA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,11379.74064,13242.33289,21838.46178,24920.9906,27264.99686
Europe & Central Asia,ECS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,25832.09689,27797.74108,42260.57139,47017.20625,48817.66252
Ecuador,ECU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,8662.607363,9768.692011,13539.71085,15280.09637,16062.01636
"Egypt, Arab Rep.",EGY,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,8190.709131,8988.107819,15579.01609,17526.8017,18524.55722
Euro area,EMU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,35696.28358,37512.75941,54203.12703,59931.22852,61544.25371
Eritrea,ERI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1546.927475,1742.32363,,,
Spain,ESP,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,33349.94258,32015.5752,44277.82254,50496.60176,53229.92202
Estonia,EST,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,22803.51947,24652.36103,44251.5375,47802.00731,46790.27002
Ethiopia,ETH,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,844.98838,1098.115157,2588.412969,2844.906835,3058.128044
European Union,EUU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,32625.41799,34733.95934,51932.2938,57502.55316,59044.97329
Fragile and conflict affected situations,FCS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3979.29253,4122.872611,5147.361865,5303.244208,5492.42314
Finland,FIN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,40081.22125,40845.95667,56790.37662,61344.62222,61734.45981
Fiji,FJI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,7286.789919,7814.699703,10685.19698,13672.23564,15152.13764
France,FRA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,35053.26271,37510.37599,52517.33549,56181.00581,58317.82803
Faroe Islands,FRO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,41160.10851,42133.21515,67757.77732,74282.30699,78103.4834
"Micronesia, Fed. Sts.",FSM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2931.12401,3287.302155,3921.72503,4150.409334,4313.627601
Gabon,GAB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,13733.70129,14784.34836,18523.5798,19992.55706,20757.07238
United Kingdom,GBR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,36744.79136,37224.37876,50972.24459,58382.9759,58225.13116
Georgia,GEO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,7278.663122,8563.835549,18915.6534,22461.33264,25071.96771
Ghana,GHA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3515.589235,4381.125355,6607.502974,7209.036734,7543.026747
Gibraltar,GIB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,
Guinea,GIN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1613.698845,1705.271104,3738.805126,4062.361364,4383.152197
"Gambia, The",GMB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2088.271661,2064.253853,2777.79621,3067.310404,3254.374577
Guinea-Bissau,GNB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1308.535567,1471.762799,2450.977964,2685.751859,2862.071225
Equatorial Guinea,GNQ,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,30522.77871,27241.60004,16821.44865,18139.98933,17411.50023
Greece,GRC,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,30440.97091,25692.57409,33531.15511,38969.02217,41181.99122
Grenada,GRD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,11000.75236,10591.74756,15298.12311,17554.73203,18807.94474
